Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2022;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;34.397;29.994.184
01/2022;EFC;Escória;Açailândia;MA;Ponta da Madeira;MA;2.166;1.111.158
01/2022;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;18.060;9.494.142
01/2022;EFC;Ferro Gusa;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;25.690;19.285.482
01/2022;EFC;Gasolina;Itaqui Base Combustível;MA;Açailândia;MA;5.608;2.932.984
01/2022;EFC;Gasolina;Itaqui Base Combustível;MA;Marabá;PA;8.587;6.423.076
01/2022;EFC;Manganês;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;18.904;14.191.232
01/2022;EFC;Minério de Ferro;Açailândia;MA;Ponta da Madeira;MA;22.191;11.383.983
01/2022;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;137.415;51.942.870
01/2022;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;20.967;3.207.951
01/2022;EFC;Minério de Ferro;Carajás;PA;Ponta da Madeira;MA;8.256.383;7.356.437.253
01/2022;EFC;Minério de Ferro;Serra Leste;PA;Ponta da Madeira;MA;340.841;283.355.438
01/2022;EFC;Minério de Ferro;Serra Sul;PA;Ponta da Madeira;MA;5.877.016;5.561.925.664
01/2022;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Açailândia;MA;17.065;8.924.995
01/2022;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Marabá;PA;39.204;29.324.592
01/2022;EFPO;Cimento acondicionado;Agrária;PR;Cascavel;PR;1.040;250.221
01/2022;EFPO;Soja;Cascavel;PR;Agrária;PR;6.520;1.568.698
01/2022;EFVM;Antracito;Tubarão;ES;Intendente Câmara;MG;7.606;3.294.242
01/2022;EFVM;Antracito;Tubarão;ES;Ouro Branco;MG;4.956;3.324.861
01/2022;EFVM;Calcário Siderúrgico;Capitão Eduardo;MG;Intendente Câmara;MG;7.925;1.718.916
01/2022;EFVM;Carvão Mineral;Pedro Nolasco;ES;Prudente de Morais;MG;4.853;3.508.306
01/2022;EFVM;Carvão Mineral;Tubarão;ES;Bela Vista de Minas;MG;13.453;7.047.945
01/2022;EFVM;Carvão Mineral;Tubarão;ES;Intendente Câmara;MG;112.646;48.788.221
01/2022;EFVM;Carvão Mineral;Tubarão;ES;Ouro Branco;MG;101.527;68.112.027
01/2022;EFVM;Carvão Mineral;Tubarão;ES;Prudente de Morais;MG;4.666;3.361.955
01/2022;EFVM;Celulose;Aracruz;ES;Frederico Selow;MG;300;111.171
01/2022;EFVM;Celulose;Frederico Selow;MG;Aracruz;ES;91.298;33.832.573
01/2022;EFVM;Cloreto de Potássio;Tubarão;ES;Brejo Alegre;MG;23.450;32.968.518
01/2022;EFVM;Cloreto de Potássio;Tubarão;ES;Eng. Adelmar;MG;1.856;1.793.628
01/2022;EFVM;Contêiner Cheio de 20 Pés;Tubarão;ES;Nova Granja;MG;3.474;2.365.661
01/2022;EFVM;Coque;Tubarão;ES;Prudente de Morais;MG;11.951;8.610.958
01/2022;EFVM;Coque Metalúrgico;Tubarão;ES;Bela Vista de Minas;MG;22.628;11.854.673
01/2022;EFVM;Coque Metalúrgico;Tubarão;ES;Intendente Câmara;MG;14.699;6.366.298
01/2022;EFVM;Ferro Gusa;Aroaba;ES;Pedro Nolasco;ES;10.503;252.838
01/2022;EFVM;Ferro Gusa;Funil;MG;Pedro Nolasco;ES;8.757;5.613.427
01/2022;EFVM;Ferro Gusa;Funil;MG;Tubarão;ES;6.505;4.154.278
01/2022;EFVM;Fosfato;Tubarão;ES;Brejo Alegre;MG;7.529;10.585.073
01/2022;EFVM;Minério de Ferro;Bicas;MG;Tubarão;ES;98.636;53.629.082
01/2022;EFVM;Minério de Ferro;Brucutu;MG;Tubarão;ES;1.255.741;733.369.064
01/2022;EFVM;Minério de Ferro;Capitão Eduardo;MG;Intendente Câmara;MG;36.936;8.011.342
01/2022;EFVM;Minério de Ferro;Capitão Eduardo;MG;Mário Carvalho;MG;2.545;516.823
01/2022;EFVM;Minério de Ferro;Conceição;MG;Intendente Câmara;MG;19.545;2.157.807
01/2022;EFVM;Minério de Ferro;Conceição;MG;Tubarão;ES;1.400.520;761.200.817
01/2022;EFVM;Minério de Ferro;Fazendão;MG;Tubarão;ES;819.394;487.119.898
01/2022;EFVM;Minério de Ferro;João Paulo;MG;Intendente Câmara;MG;6.590;718.079
01/2022;EFVM;Minério de Ferro;João Paulo;MG;Tubarão;ES;927.286;502.659.479
